country,Taxa_de_Natalidade
Afghanistan,32.49
Albania,11.78
Algeria,24.28
Andorra,7.2
Angola,40.73
Anguilla,0.0
Antigua and Barbuda,15.33
Argentina,17.02
Armenia,13.99
Australia,12.6
Austria,9.7
Azerbaijan,14.0
The Bahamas,13.97
Bahrain,13.99
Bangladesh,18.18
Barbados,10.65
Belarus,9.9
Belgium,10.3
Belize,20.79
Benin,36.22
Bhutan,17.26
Bolivia,21.75
Bosnia and Herzegovina,8.11
Botswana,24.82
Brazil,13.92
British Virgin Islands,0.0
Brunei,14.9
Bulgaria,8.9
Burkina Faso,37.93
Burundi,39.01
Cape Verde,19.49
Cambodia,22.46
Cameroon,35.39
Canada,10.1
Central African Republic,35.35
Chad,42.17
Chile,12.43
China,10.9
Colombia,14.88
Comoros,31.88
Republic of the Congo,32.86
Cook Islands,0.0
Costa Rica,13.97
Ivory Coast,35.74
Croatia,9.0
Cuba,10.17
Cyprus,10.46
Czech Republic,10.7
North Korea,13.89
Democratic Republic of the Congo,41.18
Denmark,10.6
Djibouti,21.47
Dominica,12.0
Dominican Republic,19.51
Ecuador,19.72
Egypt,26.38
El Salvador,18.25
Equatorial Guinea,33.24
Eritrea,30.3
Estonia,10.9
Eswatini,0.0
Ethiopia,32.34
Fiji,21.28
Finland,8.6
France,11.3
Gabon,31.61
The Gambia,38.54
Georgia,13.47
Germany,9.5
Ghana,29.41
Greece,8.1
Grenada,16.47
Guatemala,24.56
Guinea,36.36
Guinea0Bissau,35.13
Guyana,19.97
Haiti,24.35
Vatican City,0.0
Honduras,21.6
Hungary,9.6
Iceland,12.0
India,17.86
Indonesia,18.07
Iran,18.78
Iraq,29.08
Republic of Ireland,12.5
Israel,20.8
Italy,7.3
Jamaica,16.1
Japan,7.4
Jordan,21.98
Kazakhstan,21.77
Kenya,28.75
Kiribati,27.89
Kuwait,13.94
Kyrgyzstan,27.1
Laos,23.55
Latvia,10.0
Lebanon,17.55
Lesotho,26.81
Liberia,33.04
Libya,18.83
Liechtenstein,9.9
Lithuania,10.0
Luxembourg,10.3
Madagascar,32.66
Malawi,34.12
Malaysia,16.75
Maldives,14.2
Mali,41.54
Malta,9.2
Marshall Islands,29.03
Mauritania,33.69
Mauritius,10.2
Mexico,17.6
Federated States of Micronesia,22.82
Monaco,5.9
Mongolia,24.13
Montenegro,11.73
Montserrat,0.0
Morocco,18.94
Mozambique,37.52
Myanmar,17.55
Namibia,28.64
Nauru,0.0
Nepal,19.89
Netherlands,9.7
New Zealand,11.98
Nicaragua,20.64
Niger,46.08
Nigeria,37.91
Niue,0.0
North Macedonia,0.0
Norway,10.4
Oman,19.19
Pakistan,28.25
Palau,14.0
Panama,18.98
Papua New Guinea,27.07
Paraguay,20.57
Peru,17.95
Philippines,20.55
Poland,10.2
Portugal,8.5
Qatar,9.54
South Korea,6.4
Moldova,10.1
Romania,9.6
Russia,11.5
Rwanda,31.7
Saint Kitts and Nevis,12.6
Saint Lucia,12.0
Saint Vincent and the Grenadines,14.24
Samoa,24.38
San Marino,6.8
Sï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿,31.54
Saudi Arabia,17.8
Senegal,34.52
Serbia,9.2
Seychelles,17.1
Sierra Leone,33.41
Singapore,8.8
Slovakia,10.6
Slovenia,9.4
Solomon Islands,32.44
Somalia,41.75
South Africa,20.51
South Sudan,35.01
Spain,7.9
Sri Lanka,15.83
Palestinian National Authority,0.0
Sudan,32.18
Suriname,18.54
Sweden,11.4
Switzerland,10.0
Syria,23.69
Tajikistan,30.76
Thailand,10.34
East Timor,29.42
Togo,33.11
Tokelau,0.0
Tonga,24.3
Trinidad and Tobago,12.94
Tunisia,17.56
Turkey,16.03
Turkmenistan,23.83
Turks and Caicos Islands,0.0
Tuvalu,0.0
Uganda,38.14
Ukraine,8.7
United Arab Emirates,10.33
United Kingdom,11.0
Tanzania,36.7
United States,11.6
Uruguay,13.86
Uzbekistan,23.3
Vanuatu,29.6
Venezuela,17.88
Vietnam,16.75
Yemen,30.45
Zambia,36.19
Zimbabwe,30.68
